ITS2_type_profile_UID,Clade,Majority_ITS2_sequence,Associated_species,ITS2_profile_abundance_local,ITS2_profile_abundance_DB,ITS2_type_profile
129288,A,A1,S. microadriaticum,5,5,A1-A1gf-A1g
129658,A,A1,S. microadriaticum,3,20,A1-A1ee
128299,A,A3,"S. natans,S. tridacnidorum",1,149,A3
128961,C,C3ae,None,37,50,C3ae-C3bj-C3f-C3-C3p-C3k
128938,C,C3ae,None,22,23,C3ae-C3f-C3bj-C3-C3p-C3ch
128962,C,C3ae,None,14,14,C3ae-C3f-C3-C3bj-C3in-C3p-C3il-C3im
128960,C,C3ae/C3g,None,9,10,C3ae/C3g-C3f-C3-C3bj
129642,C,C3ae/C3g/C3io,None,6,15,C3ae/C3g/C3f/C3/C3io-C3bj
128959,C,C3ae/C3f,None,2,4,C3ae/C3f/C3-C3bj
