,C3ae dark green,A3 light pink,A1 pink,A1 dark,C3ae seafoam,C3ae white,C3ae olive,C3ae lime,C3ae green,Mixed,,
MNW-B,11,1,0,0,1,0,0,0,0,1,14,
MNW-F,4,0,0,1,9,1,0,0,0,1,16,
MSE-B,13,0,0,0,2,1,0,0,0,0,16,
MSE-F,7,0,0,0,5,3,1,0,0,0,16,
TNW-B,0,0,1,0,3,0,1,4,3,3,15,15
TNW-F,0,0,0,0,2,1,0,7,5,1,16,
