"","C3ae.C3bj.C3f.C3.C3p.C3k","A1.A1gf.A1g","A1.A1ee","A3","C3ae.C3f.C3bj.C3.C3p.C3ch","C3ae.C3f.C3.C3bj.C3in.C3p.C3il.C3im","C3ae.C3g.C3f.C3.C3bj","C3ae.C3g.C3f.C3.C3io.C3bj","C3ae.C3f.C3.C3bj","taxa"
"455",0,0,0,0,0,5012,0,0,0,"C3ae.C3f.C3.C3bj.C3in.C3p.C3il.C3im"
"517",0,0,0,0,0,3574,0,0,0,"C3ae.C3f.C3.C3bj.C3in.C3p.C3il.C3im"
"453",0,0,0,0,0,2352,0,0,0,"C3ae.C3f.C3.C3bj.C3in.C3p.C3il.C3im"
"427",0,0,0,0,0,2041,0,0,0,"C3ae.C3f.C3.C3bj.C3in.C3p.C3il.C3im"
"530",0,0,0,0,0,953,0,0,0,"C3ae.C3f.C3.C3bj.C3in.C3p.C3il.C3im"
"416",0,0,0,0,0,2249,0,0,0,"C3ae.C3f.C3.C3bj.C3in.C3p.C3il.C3im"
"386",0,0,0,0,0,1640,0,0,0,"C3ae.C3f.C3.C3bj.C3in.C3p.C3il.C3im"
"425",0,0,0,0,0,2950,0,0,0,"C3ae.C3f.C3.C3bj.C3in.C3p.C3il.C3im"
"384",0,0,0,0,0,3256,0,0,0,"C3ae.C3f.C3.C3bj.C3in.C3p.C3il.C3im"
"409",0,0,0,0,0,2917,0,0,0,"C3ae.C3f.C3.C3bj.C3in.C3p.C3il.C3im"
"405",0,0,0,0,0,1564,0,0,0,"C3ae.C3f.C3.C3bj.C3in.C3p.C3il.C3im"
"402",0,0,0,0,0,0,484,0,0,"C3ae.C3g.C3f.C3.C3bj"
"516",0,0,0,0,0,0,5844,0,0,"C3ae.C3g.C3f.C3.C3bj"
"525",0,0,0,0,0,0,3107,0,0,"C3ae.C3g.C3f.C3.C3bj"
"408",0,0,0,0,0,0,3705,0,0,"C3ae.C3g.C3f.C3.C3bj"
"389",0,0,0,0,0,0,2325,0,0,"C3ae.C3g.C3f.C3.C3bj"
"414",0,0,0,0,0,0,1142,0,0,"C3ae.C3g.C3f.C3.C3bj"
"545",0,0,0,0,0,0,1810,0,0,"C3ae.C3g.C3f.C3.C3bj"
"533",0,567,0,0,0,0,2681,0,0,"C3ae.C3g.C3f.C3.C3bj"
"421",0,0,0,0,0,0,998,0,0,"C3ae.C3g.C3f.C3.C3bj"
"116",0,0,0,0,0,0,0,1909,0,"C3ae.C3g.C3f.C3.C3io.C3bj"
"608",0,0,0,0,0,0,0,4659,0,"C3ae.C3g.C3f.C3.C3io.C3bj"
"303",0,0,0,0,0,0,0,1666,0,"C3ae.C3g.C3f.C3.C3io.C3bj"
"400",0,525,0,0,0,0,0,2552,0,"C3ae.C3g.C3f.C3.C3io.C3bj"
"604",0,0,0,0,0,0,0,1744,0,"C3ae.C3g.C3f.C3.C3io.C3bj"
"618",0,0,0,0,0,0,0,3104,0,"C3ae.C3g.C3f.C3.C3io.C3bj"
"380",0,3407,0,0,0,0,0,0,0,"A1.A1gf.A1g"
"527",0,2623,0,0,0,612,0,0,0,"A1.A1gf.A1g"
"539",0,1655,0,0,0,968,0,0,0,"A1.A1gf.A1g"
"178",0,0,2910,0,0,0,0,0,0,"A1.A1ee"
"526",0,0,0,0,0,0,0,0,4545,"C3ae.C3f.C3.C3bj"
"616",0,0,0,0,0,0,0,0,4305,"C3ae.C3f.C3.C3bj"
"58",0,0,0,1406,0,0,0,0,0,"A3"
