X,A1,A3,A1gf,760006_A,A1ee,3804_A,70045_A,3283_A,A1gc,3528_A,A1du,A1g,364485_A,922_A,1767146_A,72388_A,969_A,1438_A,73416_A,7561_A,33881_A,A3w,76466_A,363131_A,3177_A,6772_A,9434_A,2058_A,B1,C3ae,C3f,C3bj,C3,C3p,C3g,C3k,55_C,C3ch,C21,152_C,C3gj,C3in,C21.12,38_C,48_C,C3io,53_C,236_C,44_C,925363_C,62_C,C3il,C3im,C3.10,C3gl,47_C,C3hv,181_C,397_C,C3fj,54_C,240_C,C3.11,33161_C,33162_C,169_C,56_C,66_C,140_C,69_C,63351_C,76_C,C3b,C3cp,C3.9,65_C,884538_C,33164_C,70_C,891932_C,237_C,39_C,1778091_C,33171_C,C116,33163_C,C3h,418_C,46445_C,42_C,33180_C,1778086_C,756765_C,C3fv,241_C,51_C,288_C,243_C,34_C,46449_C,32995_C,1500390_C,920736_C,64_C,75_C,744202_C,144_C,67_C,238_C,61_C,1778090_C,931204_C,68_C,915532_C,1004567_C,45_C,174_C,1778087_C,178_C,C116i,1778089_C,399_C,401_C,1778085_C,744126_C,1778093_C,1778095_C,915536_C,1778082_C,49_C,1778094_C,1778083_C,918332_C,924760_C,915370_C,33097_C,1778088_C,290_C,1500999_C,1778097_C,50_C,921509_C,928011_C,917448_C,1778096_C,1501479_C,293_C,1778084_C,33179_C,917792_C,32946_C,921522_C,1778092_C,917067_C,1768442_C,747180_C,471_C
173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1778,233,236,142,142,0,70,75,168,24,36,31,0,14,25,33,0,0,0,15,0,0,0,0,0,0,16,0,0,25,13,0,16,0,0,0,18,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2286,359,203,195,181,0,0,82,194,50,18,16,0,48,47,48,0,0,0,17,0,0,0,0,22,0,28,0,20,99,0,0,24,0,0,0,35,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0
130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2717,603,515,307,375,0,98,121,107,52,75,58,0,51,41,72,0,0,0,46,0,0,0,0,23,0,0,26,0,0,23,0,23,0,0,0,43,26,28,0,0,34,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,997,236,252,102,32,0,51,47,240,27,26,17,0,22,13,18,0,13,0,20,0,0,0,0,0,0,13,20,0,0,0,0,13,12,0,0,13,0,0,0,9,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2088,338,309,266,159,0,44,69,256,47,102,62,0,23,37,33,0,0,0,20,0,0,0,0,0,30,17,19,0,0,0,23,0,23,0,0,28,0,31,0,0,0,18,0,0,0,18,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,337,284,181,130,0,49,73,204,49,59,29,0,25,20,47,0,0,0,24,0,16,0,0,23,19,26,0,0,34,17,0,33,28,0,0,28,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1232,188,169,151,110,47,36,36,128,51,31,15,0,22,11,0,0,0,0,14,0,10,0,0,16,14,0,13,21,17,10,18,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
540,112,0,21,0,6,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1470,135,112,94,145,0,19,54,126,19,18,0,0,15,18,15,0,0,0,13,0,16,0,0,0,11,13,0,15,22,0,0,0,9,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4026,566,428,478,369,0,73,127,396,109,35,66,0,57,61,74,0,0,0,38,0,0,0,0,34,36,45,0,0,228,34,95,0,0,0,0,0,40,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1166,158,133,117,93,0,13,33,92,24,10,22,0,16,0,19,0,0,0,0,0,0,0,0,17,11,0,0,0,37,9,21,14,10,0,0,0,15,12,0,15,14,0,0,10,0,0,10,0,11,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
