TNWI_455.trim.bt2.bam,508464.6497,2211.041274,TNWI_455,2015_TNW
TNWI_505.trim.bt2.bam,693389.9849,2821.203556,TNWI_505,2015_TNW
TNWI_510.trim.bt2.bam,1058657.255,3919.889574,TNWI_510,2015_TNW
TNWI_511.trim.bt2.bam,985568.2105,3678.612955,TNWI_511,2015_TNW
TNWI_512.trim.bt2.bam,838001.69,3105.624583,TNWI_512,2015_TNW
TNWI_513.trim.bt2.bam,479554.739,2062.897233,TNWI_513,2015_TNW
TNWI_516.trim.bt2.bam,1109097.171,3937.294369,TNWI_516,2015_TNW
TNWI_517.trim.bt2.bam,1157315.114,4049.991526,TNWI_517,2015_TNW
TNWI_524.trim.bt2.bam,1264745.163,4238.760988,TNWI_524,2015_TNW
TNWI_525.trim.bt2.bam,1008510.185,3630.172009,TNWI_525,2015_TNW
TNWI_526.trim.bt2.bam,1094371.914,3827.370204,TNWI_526,2015_TNW
TNWI_527.trim.bt2.bam,1047296.122,3830.689602,TNWI_527,2015_TNW
TNWI_530.trim.bt2.bam,1096309.275,3860.962472,TNWI_530,2015_TNW
TNWI_533.trim.bt2.bam,1169914.978,4274.635856,TNWI_533,2015_TNW
TNWI_535.trim.bt2.bam,1040486.261,3734.466831,TNWI_535,2015_TNW
TNWI_537.trim.bt2.bam,1274937.259,4239.497224,TNWI_537,2015_TNW
TNWI_539.trim.bt2.bam,1235704.055,4182.114834,TNWI_539,2015_TNW
TNWI_540.trim.bt2.bam,1329231.303,4423.634583,TNWI_540,2015_TNW
TNWI_542.trim.bt2.bam,249072.0667,1183.948024,TNWI_542,2015_TNW
TNWI_544.trim.bt2.bam,581913.2688,2478.801965,TNWI_544,2015_TNW
TNWI_545.trim.bt2.bam,565224.2732,2381.89181,TNWI_545,2015_TNW
TNWO_381.trim.bt2.bam,948904.7943,3567.621472,TNWO_381,2015_TNW
TNWO_382.trim.bt2.bam,710056.0555,2790.954333,TNWO_382,2015_TNW
TNWO_384.trim.bt2.bam,1004135.912,3796.461856,TNWO_384,2015_TNW
TNWO_386.trim.bt2.bam,1047232.86,3851.650795,TNWO_386,2015_TNW
TNWO_389.trim.bt2.bam,1369598.525,4459.444344,TNWO_389,2015_TNW
TNWO_391.trim.bt2.bam,1233402.633,4138.967224,TNWO_391,2015_TNW
TNWO_393.trim.bt2.bam,1278117.759,4325.360366,TNWO_393,2015_TNW
TNWO_394.trim.bt2.bam,1007707.027,3625.258691,TNWO_394,2015_TNW
TNWO_397.trim.bt2.bam,1349701.353,4422.035422,TNWO_397,2015_TNW
TNWO_400.trim.bt2.bam,1033367.623,3656.242678,TNWO_400,2015_TNW
TNWO_402.trim.bt2.bam,838623.3744,3162.384338,TNWO_402,2015_TNW
TNWO_405.trim.bt2.bam,625003.739,2547.529635,TNWO_405,2015_TNW
TNWO_408.trim.bt2.bam,1322924.6,4405.580138,TNWO_408,2015_TNW
TNWO_409.trim.bt2.bam,1324303.265,4320.046156,TNWO_409,2015_TNW
TNWO_410.trim.bt2.bam,1250606.285,4216.923337,TNWO_410,2015_TNW
TNWO_411.trim.bt2.bam,1248480.9,4204.586033,TNWO_411,2015_TNW
TNWO_414.trim.bt2.bam,911294.961,3412.263398,TNWO_414,2015_TNW
TNWO_418.trim.bt2.bam,804529.6374,3085.174263,TNWO_418,2015_TNW
TNWO_421.trim.bt2.bam,868044.2851,3255.175305,TNWO_421,2015_TNW
TNWO_422.trim.bt2.bam,1094492.108,3833.651765,TNWO_422,2015_TNW
TNWO_425.trim.bt2.bam,1176123.119,4026.722845,TNWO_425,2015_TNW
TNWO_427.trim.bt2.bam,1071107.617,3868.608979,TNWO_427,2015_TNW
TNWO_429.trim.bt2.bam,337565.1959,1414.063184,TNWO_429,2015_TNW
