"","id","Observed","Shannon","InvSimpson","row","col","fullname","sample","full_site","island","site","zone","site_zone","is.neg"
"65","F8",37,1.31657667708612,1.7279894644788,"F",8,"TO_F8",421,"Tahiti Outer","Tahiti","TNW","out","TO",FALSE
"66","G1",69,2.38473058059561,4.69960317450614,"G",1,"MNWI_G1",70,"Moorea NE Inner","Moorea","MNW","in","MNWI",FALSE
"67","G10",32,1.26643597218861,2.76489913081181,"G",10,"MSEI_G10",377,"Moorea SE Inner","Moorea","MSE","in","MSEI",FALSE
"68","G11",41,1.30122303455497,2.19606420048581,"G",11,"MSEO_G11",614,"Moorea SE Outer","Moorea","MSE","out","MSEO",FALSE
"69","G12",106,2.84459773048598,5.0875336367501,"G",12,"MSEO_G12",632,"Moorea SE Outer","Moorea","MSE","out","MSEO",FALSE
"70","G2",76,2.43364474155231,5.25004643641489,"G",2,"MNWI_G2",98,"Moorea NE Inner","Moorea","MNW","in","MNWI",FALSE
"71","G3",64,1.66875209411319,2.88997611333999,"G",3,"MNWO_G3",158,"Moorea NE Outer","Moorea","MNW","out","MNWO",FALSE
"72","G4",48,1.0775802896824,1.86646591961417,"G",4,"MNWO_G4",179,"Moorea NE Outer","Moorea","MNW","out","MNWO",FALSE
"73","G5",92,2.16897451831559,3.7162681475022,"G",5,"TI_G5",516,"Tahiti Inner","Tahiti","TNW","in","TI",FALSE
"74","G6",41,1.30900425429775,2.38894690696009,"G",6,"TI_G6",540,"Tahiti Inner","Tahiti","TNW","in","TI",FALSE
"75","G7",73,2.35268853337711,4.90057843143754,"G",7,"TO_G7",402,"Tahiti Outer","Tahiti","TNW","out","TO",FALSE
"76","G8",58,2.18378301097332,3.41558883987446,"G",8,"TO_G8",425,"Tahiti Outer","Tahiti","TNW","out","TO",FALSE
"77","H1",98,2.079634401846,3.45392602847746,"H",1,"MNWI_H1",72,"Moorea NE Inner","Moorea","MNW","in","MNWI",FALSE
"78","H10",43,1.43959396776874,1.82613190962186,"H",10,"MSEI_H10",378,"Moorea SE Inner","Moorea","MSE","in","MSEI",FALSE
"79","H11",103,3.25640610601684,13.2404070770734,"H",11,"MSEO_H11",616,"Moorea SE Outer","Moorea","MSE","out","MSEO",FALSE
"80","H12",117,3.0970761736755,9.37358871892012,"H",12,"MSEO_H12",633,"Moorea SE Outer","Moorea","MSE","out","MSEO",FALSE
"81","H2",36,0.78755727457303,1.51407359768386,"H",2,"MNWI_H2",101,"Moorea NE Inner","Moorea","MNW","in","MNWI",FALSE
"82","H6",43,1.83668802399495,3.41129254975127,"H",6,"TI_H6",545,"Tahiti Inner","Tahiti","TNW","in","TI",FALSE
"83","H8",39,1.45941766914261,1.88867192854728,"H",8,"TO_H8",427,"Tahiti Outer","Tahiti","TNW","out","TO",FALSE
"84","H9",34,1.37447049449693,2.491062567793,"H",9,"MSEI_H9",307,"Moorea SE Inner","Moorea","MSE","in","MSEI",FALSE
