"A1" "A10" "A11" "A12" "A2" "A3" "A5" "A6" "A7" "A8" "A9" "B1" "B10" "B11" "B12" "B2" "B3" "B4" "B5" "B6" "B7" "B8" "B9" "C1" "C10" "C11" "C2" "C3" "C4" "C5" "C6" "C7" "C8" "C9" "D1" "D10" "D11" "D12" "D3" "D4" "D5" "D6" "D7" "D8" "D9" "E1" "E10" "E11" "E12" "E2" "E3" "E4" "E5" "E6" "E7" "E8" "E9" "F1" "F10" "F11" "F12" "F2" "F3" "F4" "F5" "F6" "F7" "F8" "G1" "G10" "G11" "G12" "G2" "G3" "G4" "G5" "G6" "G7" "G8" "G9" "H1" "H10" "H11" "H12" "H2" "H3" "H4" "H5" "H6" "H7" "H8" "H9"
"sq17" 0 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 463 1901 0 0 0 0 0 0 0 0 0 0 4567 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 855 0 0 0 0 0 0 0 0 0
"sq19" 0 27 254 412 0 0 268 0 0 0 0 0 678 407 29 0 0 0 0 0 0 0 75 0 0 24 0 0 0 87 23 0 10 0 0 0 0 258 0 17 55 0 0 12 0 0 234 27 126 0 0 34 9 217 0 75 0 0 78 65 207 0 0 0 273 1112 22 0 0 0 173 129 0 0 0 0 284 0 56 0 0 9 1607 231 0 0 0 0 36 0 0 2
"sq20" 0 0 0 29 0 0 0 20 65 0 100 0 0 65 10 0 0 60 102 34 0 0 87 0 23 0 0 0 0 0 16 0 248 111 0 0 0 0 0 0 0 3339 0 0 0 0 0 0 0 0 0 0 264 275 0 0 52 0 0 6 0 0 0 0 26 0 0 0 0 0 0 50 0 0 0 55 31 0 0 65 0 0 0 1518 0 0 0 28 0 0 0 30
"sq21" 6 61 164 29 243 161 96 0 27 41 0 59 160 103 0 265 61 46 0 48 125 0 62 4 0 41 157 26 56 147 22 4 8 28 37 76 70 0 0 69 134 23 0 157 69 0 183 0 51 73 102 88 93 0 0 215 11 31 56 30 115 93 230 89 509 99 4 97 76 0 169 225 133 14 49 0 0 162 126 20 33 0 132 97 103 28 0 108 28 12 71 32
"sq22" 33 87 51 52 0 0 102 0 53 314 5 26 39 163 13 99 0 118 32 1221 0 47 62 0 81 0 34 0 0 45 0 25 107 24 0 0 87 0 40 0 247 44 0 70 273 35 0 9 80 88 0 43 183 119 47 0 151 0 59 47 0 281 138 51 56 56 119 0 97 0 0 51 72 115 0 0 89 73 0 30 106 7 47 0 16 41 0 18 48 0 24 0
"sq23" 26 324 0 23 55 90 18 53 28 18 14 108 61 26 13 60 55 139 24 43 48 70 61 21 31 47 16 47 86 132 38 133 39 72 124 242 111 100 44 90 50 36 100 0 80 71 43 50 71 64 14 59 0 23 26 29 54 30 59 17 77 237 47 24 89 48 101 86 68 32 188 58 145 0 25 121 34 155 0 58 109 76 66 38 0 4 13 7 28 40 64 32
"sq27" 0 0 0 13 121 21 0 0 0 0 0 78 0 0 0 1337 0 0 0 0 0 0 0 85 0 0 413 0 23 20 0 0 0 0 1505 0 0 0 0 32 0 0 0 0 0 843 0 0 0 57 0 0 0 0 0 0 0 58 0 0 0 155 0 0 0 0 0 0 185 0 0 0 0 0 0 0 0 0 0 0 90 0 0 0 38 0 0 0 0 0 0 0
"sq28" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 377 2128 0 0 0 0 0 0 0 0 0 0 2472 44 0 0 0 0 0 0 0 0 0 0 43 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"sq29" 0 0 0 37 0 9 0 0 0 0 0 0 0 0 0 0 300 53 0 0 0 69 99 0 0 0 0 537 0 0 16 30 0 42 0 0 0 35 716 0 0 0 0 0 728 0 0 0 0 282 0 0 0 0 0 0 0 0 4 0 0 1728 0 0 0 0 2 0 0 0 0 0 78 0 0 0 0 84 0 0 0 0 57 0 27 0 0 0 0 0 0 0
"sq30" 55 582 195 62 144 0 36 0 0 60 0 9 81 231 0 83 44 17 10 18 33 0 27 0 36 194 0 36 0 164 3 0 33 0 56 39 0 0 47 0 93 0 0 44 0 0 0 0 47 0 18 0 45 9 29 27 48 39 30 0 45 77 141 60 202 33 0 0 74 18 62 65 0 0 16 54 24 0 120 34 111 3 306 154 0 226 0 0 67 10 41 25
