"A1" "A10" "A11" "A12" "A2" "A3" "A5" "A6" "A7" "A8" "A9" "B1" "B10" "B11" "B12" "B2" "B3" "B4" "B5" "B6" "B7" "B8" "B9" "C1" "C10" "C11" "C2" "C3" "C4" "C5" "C6" "C7" "C8" "C9" "D1" "D10" "D11" "D12" "D3" "D4" "D5" "D6" "D7" "D8" "D9" "E1" "E10" "E11" "E12" "E2" "E3" "E4" "E5" "E6" "E7" "E8" "E9" "F1" "F10" "F11" "F12" "F2" "F3" "F4" "F5" "F6" "F7" "F8" "G1" "G10" "G11" "G12" "G2" "G3" "G4" "G5" "G6" "G7" "G8" "G9" "H1" "H10" "H11" "H12" "H2" "H3" "H4" "H5" "H6" "H7" "H8" "H9"
"sq87" 0 0 79 15 0 0 0 0 59 0 0 0 0 455 0 0 18 0 0 0 0 0 0 0 0 150 0 0 28 26 0 0 0 0 0 0 7 0 0 24 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 33 0 0 0 0 0 0 0 0 0 0 15 0 0 0 0 0 0 0 0 0
"sq89" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 33 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 777 0 0 0 0 0 0 0 0 0
"sq91" 0 0 0 19 0 0 0 0 0 0 0 0 0 0 0 277 0 0 0 0 0 0 0 14 0 0 109 0 0 0 0 0 0 0 215 0 0 0 0 0 0 0 0 0 0 65 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 46 0 0 0 0 18 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"sq92" 0 0 0 0 0 0 0 0 0 0 0 0 42 72 0 0 0 0 0 0 0 0 0 0 0 104 0 0 0 0 0 0 0 0 0 0 0 43 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 425 0 0 0 0 0 0 0 0 0 30 0 0 0 0 0 0 0 0 0 0 30 0 0 0 0 0 0 0 0 0
"sq93" 0 0 3 49 0 0 0 0 0 0 0 0 74 140 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 0 0 16 0 0 0 0 0 43 0 0 0 0 0 0 0 0 0 0 0 11 9 94 0 0 0 50 0 0 0 0 0 0 41 0 0 0 0 0 0 0 0 0 0 179 0 0 0 0 0 0 0 0 0
"sq95" 0 0 0 0 0 0 0 0 0 0 0 0 41 70 0 0 93 0 0 0 0 0 0 0 0 0 0 0 101 0 0 0 0 65 0 0 0 77 87 46 76 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 20 0 0 0 0 0 0 0 38 0
"sq96" 0 0 25 0 0 0 0 0 0 0 0 0 287 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 245 0 0 0 0 0 0 12 0 0 0 0 90 8 39 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14 0 0 0 0 0 0 0 0
"sq98" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 31 0 0 0 0 0 0 0 0 0 0 0 661 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"sq99" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 26 0 0 0 0 0 0 353 0 18 0 0 302 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"sq100" 0 0 0 13 0 0 0 0 0 0 81 19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0 0 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 45 0 0 0 0 0 0 0 0 0 0 33 481 0 0 0 0 0 0 0 0
"sq101" 0 35 0 29 0 0 0 0 0 0 0 0 0 0 0 24 0 56 0 42 0 0 0 0 11 0 18 0 0 0 0 0 0 0 0 0 0 0 0 0 0 34 0 42 0 0 40 9 76 59 13 0 17 17 0 0 0 0 0 38 0 0 41 0 0 0 27 0 11 0 0 0 0 0 0 0 23 0 0 0 0 0 0 0 10 8 0 0 14 0 0 0
"sq102" 0 33 0 0 0 0 0 0 0 0 0 112 0 0 0 0 0 0 0 46 0 0 0 0 167 0 28 0 0 0 0 0 0 0 0 0 0 0 55 0 0 0 149 0 0 0 0 0 0 0 0 96 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"sq104" 0 68 0 0 0 0 0 0 0 28 0 13 0 0 0 0 0 0 0 24 0 0 0 11 0 0 0 19 0 0 0 0 0 0 0 0 0 25 0 12 0 0 3 7 0 24 0 0 0 20 0 0 24 0 0 0 72 23 0 0 0 0 8 0 0 0 0 0 35 0 0 19 8 19 20 0 0 59 29 0 0 0 0 18 0 0 0 0 6 0 0 0
"sq106" 0 23 40 43 0 0 0 0 0 0 0 0 83 42 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 67 9 0 0 0 0 0 0 0 0 0 0 0 0 108 0 0 0 0 0 0 0 0 0 0 67 0 0 0 0 0 0 0 0 0 0 172 0 0 0 0 0 0 0 0 0
"sq108" 0 0 0 0 45 10 38 0 0 0 0 0 0 0 0 0 10 44 0 0 0 0 38 0 0 0 0 0 0 0 0 0 0 0 10 0 0 0 0 0 0 0 18 0 0 0 0 0 0 0 82 0 39 0 0 0 0 0 35 48 0 89 34 0 0 0 0 0 0 0 17 0 0 55 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 17 0 0
"sq110" 26 0 23 0 0 0 0 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 28 33 0 0 0 0 0 0 0 0 0 0 85 0 0 42 0 0 0 0 0 26 0 0 20 0 0 0 50 0 0 0 0 34 0 0 0 92 0 0 0 32 0 0 0 12 0 88 0 0 0 0 0 9 0 0 0 0
"sq113" 0 376 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 222 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"sq114" 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 107 0 0 0 0 0 0 0 0 8 0 20 0 0 0 0 0 0 0 0 0 0 0 0 439 0 0 0 0 0 0 27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"sq115" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 74 0 0 0 0 0 19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 22 0 0 0 14 0 0 0 0 0 225 0 43 0 0 0 0 0 0 0 0 0 0 0 52 0 0 0 0 0 0 0 0 0 86 56 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0
"sq116" 0 0 0 19 0 0 0 0 0 0 0 0 115 31 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 43 0 0 0 0 0 0 0 0 13 0 44 0 0 0 0 0 0 0 0 0 23 12 31 0 0 0 0 0 0 0 0 0 0 120 0 0 0 0 29 0 0 0 0 0 87 0 0 0 0 0 0 0 0 0
"sq118" 0 0 0 0 0 0 8 23 0 0 0 0 0 0 0 0 0 0 0 0 0 0 19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 257 18 0 15 0 0 0 0 0 0 0 0 3 0 23 0 65 0 0 0 0 0 0 14 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 25 10 29 0 0 24 0 0 0 0 35
"sq119" 0 0 0 0 0 0 0 0 0 0 17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 75 0 0 0 0 0 0 0 0 0 0 0 17 0 0 0 0 0 0 0 0 0 0 0 132 0 0 0 0 0 0 0 0 0 0 298 0 0 0 0 0 0 0 0 0 0 0 27 0
"sq120" 0 0 0 8 0 0 0 0 0 0 253 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 110 0 0 63 0 0 0 0 0 0 0 0 0 0 44 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17 66 0 0 0 0 0 0 0 0
"sq123" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 544 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"sq124" 0 0 26 0 0 0 0 0 0 33 0 0 0 0 0 0 0 0 0 0 0 0 21 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 412 10 0 0 0 0 0 0 0 0 0 0 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11
"sq125" 0 97 0 12 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 82 0 0 0 0 0 0 0 0 0 0 0 0 0 110 0 0 0 0 0 0 0 18 0 0 41 0 0 0 0 0 0 0 0 0 45 0 106 0 19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"sq127" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 0 0 0 0 0 234 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 158 0 0 0 0 121 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"sq128" 0 0 14 0 0 0 0 0 0 0 0 11 0 0 0 0 0 0 0 0 45 0 47 0 0 0 17 0 0 0 0 0 0 0 0 0 54 0 0 0 0 0 0 0 0 0 0 12 0 43 0 0 0 0 0 0 58 0 0 0 0 0 0 18 0 0 0 0 0 0 0 50 0 27 0 0 0 0 0 0 0 0 0 0 0 0 41 0 95 0 0 0
"sq129" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 241 0 0 0 0 0 0 0 0 0 0 92 0 0 0 0 0 0 0 154 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 43 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"sq133" 0 0 0 0 0 0 0 0 0 0 0 16 0 0 0 136 0 0 0 0 0 0 0 48 0 0 130 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 32 0 0 0 39 0 0 0 0 0 0 0 83 0 0 0 21 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 0 0 0 0 0 0 0 0
"sq134" 0 63 0 0 0 0 0 0 18 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 327 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 28 0 0 0 0 46 0 0 0 0 0 0 0 0 0 0 0 0 34 0
"sq135" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 490 0 0 0 0 0 0 0 0
"sq136" 0 169 0 21 0 0 0 0 0 21 0 0 36 0 0 0 0 0 0 0 0 23 0 0 0 34 0 0 0 0 0 0 0 0 0 0 0 0 0 15 0 0 54 0 35 0 0 14 15 0 0 0 0 0 0 0 0 0 18 0 0 0 0 0 0 0 0 0 0 0 0 14 0 0 16 0 0 0 0 0 0 0 23 0 0 0 0 0 0 0 0 0
"sq137" 0 0 0 0 0 0 0 0 34 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 447 0 0 0 0 0 0 0 0
"sq138" 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 116 0 0 6 0 0 0 21 0 0 0 0 0 0 40 0 0 0 0 0 0 75 0 9 0 0 0 0 118 0 0 0 30 0 0 38 0 0 0 0 0 0 0 0 15 0 0 0 0 0 0 0 0 24 0 0 0 0 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0 0
"sq139" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 259 0 0 0 0 235 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"sq140" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 225 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 44 0 0 0 0 0 0 0 0 0 0 0 0 0 0 96 0 0 0 0 0 0 0 0 0 0 0 94 0 12 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0
"sq141" 31 0 18 0 0 8 0 0 0 0 0 0 63 0 3 0 0 0 0 0 32 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 79 0 27 0 0 84 0 0 10 26 0 72 0 24 0 0 0 0 0 0 0 0 0 11 0 0 0 0 0 0
"sq146" 0 24 41 0 0 0 0 35 0 25 0 0 0 0 0 47 0 0 0 0 0 0 0 0 19 0 0 0 0 0 0 0 36 0 0 18 0 0 0 0 29 0 0 26 0 0 0 0 0 0 0 0 17 0 0 0 0 0 0 0 0 19 44 0 0 0 0 0 15 0 0 15 34 0 0 0 0 0 0 16 0 0 0 0 0 19 0 0 0 0 0 0
"sq147" 0 0 0 0 0 0 0 0 0 0 226 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 122 0 0 0 0 0 0 0 0 0 0 0 129 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"sq148" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 219 0 0 0 0 0 0 0 0 0 0 0 242 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"sq149" 0 0 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 53 0 0 0 0 0 0 0 0 85 0 26 0 43 39 0 0 0 0 0 0 0 0 50 0 14 0 0 0 0 0 0 0 0 0 38 0 32 0 0 43 0 0 0 0 0 0 0 0 0 20 0 0 0 0 0
"sq150" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 21 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 410 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"sq151" 0 0 0 22 0 0 0 0 0 0 0 63 0 0 0 138 0 0 0 0 0 0 0 0 0 0 48 0 0 0 0 0 0 0 44 0 0 0 0 0 0 0 0 0 0 0 25 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 29 0 0 0 0 0 35 0 0 0 0 0 0 0 0 0 0 17 0 0 0 0 0 0 0 0 0
"sq152" 0 0 0 9 0 26 0 0 0 0 0 0 0 0 0 74 0 0 0 0 0 0 0 0 0 0 81 0 0 0 0 0 0 0 163 0 0 0 0 0 0 0 0 0 0 31 0 0 0 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 23 0 0 0 0 0 0 0 0 29 0 0 0 0 0 0 0 0 0 0 0
"sq154" 0 0 0 13 0 0 0 0 0 0 0 0 0 0 0 37 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 43 0 0 0 0 0 0 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 319 3 0 0 0 0 0 0 0
"sq156" 0 0 10 11 0 0 0 0 0 0 33 0 0 0 0 105 0 0 23 0 0 0 0 0 0 0 45 0 0 0 17 0 0 0 36 0 0 0 0 0 0 22 0 0 0 40 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 43 0 0 54 0 0 0 0 0 0 0 0
"sq157" 0 58 0 0 0 0 13 44 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 0 24 10 0 0 10 0 0 0 0 0 0 0 0 16 0 0 0 0 0 0 0 0 45 0 0 0 0 0 0 0 0 0 67 0 0 21 24 0 0 0 0 0 11 0 0 0 0 52 0 8 10 0 0 0 0 10 0 0
"sq158" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 29 0 0 0 0 0 0 0 0 0 0 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 58 0 0 0 0 0 0 0 0 0 0 0 26 0 0 0 0 0 0 0 0 0 0 272 0 0 0 0 0 0 0 0 0 0 0 40 0
"sq161" 0 0 0 0 0 0 0 0 0 0 0 0 46 0 0 39 0 0 0 0 0 0 0 0 23 0 0 0 238 0 0 0 0 0 0 0 0 0 0 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 47 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14 0 0 0 0 0
"sq163" 0 0 0 0 0 0 0 0 0 0 0 0 42 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 43 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 61 138 0 0 0 0 112 0 0 0 0 0 0 0 0 20 0 0 0 0 0
"sq164" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 0 0 0 0 0 0 0 0 0 0 357 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 37 0 0 0 0 0 0 0 0
"sq165" 0 4 7 0 32 0 0 0 0 0 0 0 0 0 0 50 0 0 0 10 0 0 0 0 0 0 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0 0 25 0 0 0 0 0 0 0 0 19 0 0 0 0 0 0 0 0 54 25 36 0 17 0 0 0 0 0 0 0 72 0 0 12 0 0 0 0 0 0 6 0 0 0 0 22 0 0 0
"sq166" 0 0 0 30 0 0 0 0 0 0 0 0 33 17 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0 84 0 0 0 0 0 0 0 0 0 0 0 0 0 106 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 23 0 0 0 0 0 85 0 0 0 0 0 0 0 0 0
"sq167" 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 60 4 19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 79 7 0 0 0 0 34 0 111 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 32 0 0 0 0 0 0 0 0 0 0 0 0 0 0 45 0 0 0 0 0
"sq168" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 22 0 0 43 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"sq169" 0 0 0 0 0 0 20 40 38 0 10 0 0 0 0 0 17 0 12 0 0 15 0 0 5 0 0 0 0 0 11 0 0 44 0 0 0 0 0 50 0 6 0 0 0 0 11 0 0 5 0 24 0 0 0 0 0 0 0 0 0 15 0 0 0 0 39 0 0 0 0 0 15 0 0 0 0 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"sq170" 0 0 10 0 0 0 0 0 11 0 0 0 0 0 0 57 11 0 0 0 0 20 34 0 0 0 106 20 0 0 0 0 0 0 53 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 0 8 0 9 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 0 0
"sq172" 0 28 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 241 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 40 0 0 0 0 74 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"sq173" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 177 0 0 0 0 205 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"sq174" 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 378 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"sq176" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 46 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 331 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"sq177" 0 0 0 0 0 0 0 0 0 0 0 0 0 38 0 0 0 61 0 0 0 0 0 0 0 0 0 0 33 38 0 0 0 0 0 0 0 0 0 40 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17 0 0 0 0 26 0 93 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 25 0 0 0 0 0 0 0
"sq178" 0 0 0 0 0 41 0 0 11 31 6 0 0 0 0 0 40 27 0 0 39 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 0 0 0 0 0 0 0 0 0 0 0 0 0 23 0 0 0 0 0 0 0 0 0 33 0 0 0 0 0 0 0 0 0 0 0 0 0 0 92 0 0 0 0 0 0 0 11 0 0 0 0 0 0 0 0
"sq179" 0 0 14 8 0 0 0 36 11 0 0 0 0 38 0 0 23 0 0 0 0 0 0 0 0 0 0 0 0 0 14 0 0 0 0 56 0 0 0 0 0 0 0 0 64 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 57 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 26 0 0 0 12 0 0 0 0 0 0
"sq180" 0 0 0 0 0 0 0 29 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 0 0 0 0 0 8 0 0 0 0 11 0 45 14 0 0 0 0 0 2 0 0 0 30 0 0 67 0 0 0 0 0 0 0 0 48 0 0 0 0 0 0 0 27 0 0 0 14 0 0 0 0 0 0 0 7 0 0 0 0 0 21 0 0 15 0 18 0
"sq181" 0 0 0 0 0 9 0 26 0 5 10 17 0 0 0 0 21 0 0 0 0 0 0 0 0 0 0 0 0 0 11 0 0 0 0 0 0 0 40 25 0 0 0 0 0 0 0 0 0 23 0 41 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 34 0 0 0 0 0 0 0 0 0 64 24 0 0 0 0 0 11 0 0
"sq182" 0 0 0 0 0 0 0 0 0 0 0 0 126 0 0 0 0 0 0 0 0 0 0 0 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 29 0 0 0 0 0 0 0 123 0 0 0 72 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"sq183" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 36 0 17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 308 0 0 0 0 0 0 0 0
"sq184" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 326 0 0 0 0 0 0 0 34 0 0 0 0 0 0 0 0
"sq185" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 200 0 0 0 0 0 0 0 0 0 0 65 0 0 0 0 0 0 0 27 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 59 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
