"","id","Observed","Shannon","InvSimpson","row","col","fullname","sample","full_site","island","site","zone","site_zone","is.neg"
"46","E12",59,1.9388448127883,3.85962840734703,"E","12","MSEO_E12","627","Moorea SE Outer","Moorea","MSE","out","MSEO",FALSE
"47","E2",79,2.36774059775388,3.24083956967316,"E","2","MNWI_E2","96","Moorea NE Inner","Moorea","MNW","in","MNWI",FALSE
"48","E3",68,2.64079424965979,7.65334869843298,"E","3","MNWO_E3","130","Moorea NE Outer","Moorea","MNW","out","MNWO",FALSE
"49","E4",70,2.44356586233435,5.62857936062618,"E","4","MNWO_E4","177","Moorea NE Outer","Moorea","MNW","out","MNWO",FALSE
"50","E5",54,0.744820497682297,1.3453221462074,"E","5","TI_E5","511","Tahiti Inner","Tahiti","TNW","in","TI",FALSE
"51","E6",61,1.47764308042475,2.16683917577586,"E","6","TI_E6","533","Tahiti Inner","Tahiti","TNW","in","TI",FALSE
"52","E7",29,1.10366097398624,1.5910502512775,"E","7","TO_E7","397","Tahiti Outer","Tahiti","TNW","out","TO",FALSE
"53","E8",54,1.69694003816586,2.07160555250647,"E","8","TO_E8","418","Tahiti Outer","Tahiti","TNW","out","TO",FALSE
"54","E9",36,1.53111156938921,2.97638312771719,"E","9","MSEI_E9","303","Moorea SE Inner","Moorea","MSE","in","MSEI",FALSE
"55","F1",43,1.59961892806884,2.17732413208088,"F","1","MNWI_F1","65","Moorea NE Inner","Moorea","MNW","in","MNWI",FALSE
"56","F10",62,1.35974528508018,2.10783841718663,"F","10","MSEI_F10","351","Moorea SE Inner","Moorea","MSE","in","MSEI",FALSE
"57","F11",68,1.99783164690516,4.78924816279257,"F","11","MSEO_F11","612","Moorea SE Outer","Moorea","MSE","out","MSEO",FALSE
"58","F12",63,1.72195889664496,2.63850359231852,"F","12","MSEO_F12","630","Moorea SE Outer","Moorea","MSE","out","MSEO",FALSE
"59","F2",100,2.53769138672053,3.61890756816755,"F","2","MNWI_F2","97","Moorea NE Inner","Moorea","MNW","in","MNWI",FALSE
"60","F3",94,2.50111800885864,4.01623797192102,"F","3","MNWO_F3","157","Moorea NE Outer","Moorea","MNW","out","MNWO",FALSE
"61","F4",63,1.66051679960163,2.56937891213673,"F","4","MNWO_F4","178","Moorea NE Outer","Moorea","MNW","out","MNWO",FALSE
"62","F5",57,1.92732009854605,3.51629212301168,"F","5","TI_F5","513","Tahiti Inner","Tahiti","TNW","in","TI",FALSE
"63","F6",39,1.79256396790923,2.72085731071143,"F","6","TI_F6","539","Tahiti Inner","Tahiti","TNW","in","TI",FALSE
"64","F7",35,1.20431343060795,1.72926992688931,"F","7","TO_F7","400","Tahiti Outer","Tahiti","TNW","out","TO",FALSE
"65","F8",37,1.32430116453001,1.73658264028145,"F","8","TO_F8","421","Tahiti Outer","Tahiti","TNW","out","TO",FALSE
"66","G1",70,2.38862353748539,4.74651111676368,"G","1","MNWI_G1","70","Moorea NE Inner","Moorea","MNW","in","MNWI",FALSE
"67","G10",30,1.25638121495592,2.77059941384957,"G","10","MSEI_G10","377","Moorea SE Inner","Moorea","MSE","in","MSEI",FALSE
"68","G11",40,1.28526811407906,2.18507170832362,"G","11","MSEO_G11","614","Moorea SE Outer","Moorea","MSE","out","MSEO",FALSE
"69","G12",105,2.89251273568096,5.28976460822715,"G","12","MSEO_G12","632","Moorea SE Outer","Moorea","MSE","out","MSEO",FALSE
"70","G2",75,2.44188316378113,5.31455854461837,"G","2","MNWI_G2","98","Moorea NE Inner","Moorea","MNW","in","MNWI",FALSE
"71","G3",64,1.68086160749954,2.90483974715501,"G","3","MNWO_G3","158","Moorea NE Outer","Moorea","MNW","out","MNWO",FALSE
"72","G4",49,1.08766471362503,1.87219055743841,"G","4","MNWO_G4","179","Moorea NE Outer","Moorea","MNW","out","MNWO",FALSE
"73","G5",93,2.13689748312019,3.62316381752525,"G","5","TI_G5","516","Tahiti Inner","Tahiti","TNW","in","TI",FALSE
"74","G6",41,1.27523419485494,2.34365664088888,"G","6","TI_G6","540","Tahiti Inner","Tahiti","TNW","in","TI",FALSE
"75","G7",74,2.35484996704215,4.91676293835167,"G","7","TO_G7","402","Tahiti Outer","Tahiti","TNW","out","TO",FALSE
"76","G8",58,2.19861528697126,3.44370818210372,"G","8","TO_G8","425","Tahiti Outer","Tahiti","TNW","out","TO",FALSE
"77","H1",96,2.05496740918852,3.38083149457378,"H","1","MNWI_H1","72","Moorea NE Inner","Moorea","MNW","in","MNWI",FALSE
"78","H10",43,1.43926016334989,1.82764351708599,"H","10","MSEI_H10","378","Moorea SE Inner","Moorea","MSE","in","MSEI",FALSE
"79","H11",105,3.29107831413896,14.0415064593121,"H","11","MSEO_H11","616","Moorea SE Outer","Moorea","MSE","out","MSEO",FALSE
"80","H12",116,3.08596910078004,9.33490048277269,"H","12","MSEO_H12","633","Moorea SE Outer","Moorea","MSE","out","MSEO",FALSE
"81","H2",37,0.777114930702779,1.51450477151741,"H","2","MNWI_H2","101","Moorea NE Inner","Moorea","MNW","in","MNWI",FALSE
"82","H6",43,1.82816857239428,3.39417237203732,"H","6","TI_H6","545","Tahiti Inner","Tahiti","TNW","in","TI",FALSE
"83","H8",39,1.45949458776532,1.8871590803428,"H","8","TO_H8","427","Tahiti Outer","Tahiti","TNW","out","TO",FALSE
"84","H9",33,1.37815239017035,2.50058156085208,"H","9","MSEI_H9","307","Moorea SE Inner","Moorea","MSE","in","MSEI",FALSE
